env_id	c	omega	kappa	final_D	final_A	divergence_rate
E1	1e-05	0.005000000000000006	1	0	0	0
E1	3.16227766017e-05	0.005000000000000006	1	0	0	0
E1	0.0001	0.005000000000000006	1	0	0	0
E1	0.000316227766017	0.005000000000000006	1	0	0	0
E1	0.001	0.005000000000000006	1	0	0	0
E1	0.00316227766017	0.005000000000000006	1	0	0	0
E1	0.01	0.005000000000000006	1	0	0	0
E1	0.0316227766017	0.005000000000000006	1	0	0	0
E1	0.1	0.005000000000000006	1	0	0	0
E1	0.316227766017	0.005000000000000006	1	0	0	0
E1	1	0.005000000000000006	1	0	0	0
E1	3.16227766017	0.005000000000000006	1	0	0	0
E1	10	0.005000000000000006	1	0	0	0
E1	31.6227766017	0.005000000000000006	1	0	0	0
E1	100	0.005000000000000006	1	0	0	0
E1	316.227766017	0.005000000000000006	1	0	0	0
E1	1000	0.005000000000000006	1	0	0	0
E10	1e-05	0.0008335000000000009	2.999400119976005	0	0	0
E10	3.16227766017e-05	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.0001	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.000316227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.001	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.00316227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.01	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.0316227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.1	0.0008335000000000009	2.999400119976005	0	0	0
E10	0.316227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	1	0.0008335000000000009	2.999400119976005	0	0	0
E10	3.16227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	10	0.0008335000000000009	2.999400119976005	0	0	0
E10	31.6227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	100	0.0008335000000000009	2.999400119976005	0	0	0
E10	316.227766017	0.0008335000000000009	2.999400119976005	0	0	0
E10	1000	0.0008335000000000009	2.999400119976005	0	0	0
E11	1e-05	6.79670595032001e-09	28846.15384615385	0	0	0
E11	3.16227766017e-05	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.0001	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.000316227766017	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.001	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.00316227766017	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.01	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.0316227766017	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.1	6.79670595032001e-09	28846.15384615385	0	0	0
E11	0.316227766017	6.79670595032001e-09	28846.15384615385	0	0	0
