instance_key	env	case_id	control_key	control_value	gamma	n_states	d	omega	kappa	lambda_min_A_plus_AT_over_2	phi_max_sq	tau_proxy	best_k	delta_bestk	alpha_hat	tau_alpha	C_hat	t_mix_upper_alpha_eps1e-6	theta_star_norm	r_max	R_oracle	R_upper	matrix_dir
E4_case0002_feature_omega_beta_1p0	E4	0002	feature_omega_beta	1.0	0.98999999999999999	20	20	1.6664583541646101e-07	40002.000075001262	0.00049999999999999481	0.99999999999999989	160799772467.03549	256	0.99999999999955402	0.99999999999999822	574003300672419.75	1	7930050343246592	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E4_case0002_feature_omega_beta_1p0
E4_case0003_feature_omega_beta_1p0	E4	0003	feature_omega_beta	1.0	0.98999999999999999	20	20	1.646039629743904e-05	402.00751248429702	0.00049999999999999481	0.99999999999999978	160799772467.03549	256	0.99999999999955402	0.99999999999999822	574003300672419.75	1	7930050343246592	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E4_case0003_feature_omega_beta_1p0
E4_case0004_feature_omega_beta_1p0	E4	0004	feature_omega_beta	1.0	0.98999999999999999	20	20	0.00063661001875017602	6.854101966249682	0.00049999999999999481	1	160799772467.03549	256	0.99999999999955402	0.99999999999999822	574003300672419.75	1	7930050343246592	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E4_case0004_feature_omega_beta_1p0
E5_case0001_feature_omega_beta_1em3	E5	0001	feature_omega_beta	1e-3	0.98999999999999999	21	20	5.0000000000000044e-10	1000000	1.7583807687878902e-10	1	2063.310472125027	101	7.3048759539035432e-07	0.86944815762599581	7.6597923232305369	1	101	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E5_case0001_feature_omega_beta_1em3
E5_case0002_feature_omega_beta_1em2	E5	0002	feature_omega_beta	1e-2	0.98999999999999999	21	20	5.0000000000000037e-08	10000	1.7583696399547674e-08	1	2063.310472125027	101	7.3048759539035432e-07	0.86944815762599581	7.6597923232305369	1	101	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E5_case0002_feature_omega_beta_1em2
E5_case0003_feature_omega_beta_1em1	E5	0003	feature_omega_beta	1e-1	0.98999999999999999	21	20	5.0000000000000046e-06	99.999999999999986	1.7583354560167781e-06	1	2063.310472125027	101	7.3048759539035432e-07	0.86944815762599581	7.6597923232305369	1	101	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E5_case0003_feature_omega_beta_1em1
E5_case0004_feature_omega_beta_1p0	E5	0004	feature_omega_beta	1.0	0.98999999999999999	21	20	0.00050000000000000044	1	0.00017547901697604224	1	2063.310472125027	101	7.3048759539035432e-07	0.86944815762599581	7.6597923232305369	1	101	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E5_case0004_feature_omega_beta_1p0
E6_case0001_feature_omega_beta_1em3	E6	0001	feature_omega_beta	1e-3	0.98999999999999999	20	2	8.3333333333325239e-11	1000000.0000000939	2.8984754189560003e-08	1	inf	256	0.99939618762159843	0.99999764064830476	423845.24613272247	1	5855744	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E6_case0001_feature_omega_beta_1em3
E6_case0002_feature_omega_beta_1em2	E6	0002	feature_omega_beta	1e-2	0.98999999999999999	20	2	8.3333333333325245e-09	10000.00000000094	2.898475418956001e-06	1	inf	256	0.99939618762159843	0.99999764064830476	423845.24613272247	1	5855744	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E6_case0002_feature_omega_beta_1em2
E6_case0003_feature_omega_beta_1em1	E6	0003	feature_omega_beta	1e-1	0.98999999999999999	20	2	8.3333333333325255e-07	100.00000000000939	0.00028984754189559988	1	inf	256	0.99939618762159843	0.99999764064830476	423845.24613272247	1	5855744	0	0	0	0	/home/leew0a/codex/TDfullexperiments/verification/instance_matrices_20260404/E6_case0003_feature_omega_beta_1em1
